Temples,Country,Points,Change,Maha Big Books,Big Books,Medium Books,Small Books,Mags,BTG Subs,Full Sets,Latitude,Longitude,Year
Brazaville,Con,143.25,na,49,20,40,21,0,0,0,nodata-lat,nodata-lon,2013
Minneapolis,USA,141.50,na,45,19,65,0,0,0,3,44.977753,-93.2650108,2013
New,Navadvip,Es,Guy,141.50,na,54,0,0,134,0,0,0,28.5558863,77.2539484,2013
Tegucigalpa,Hon,140.50,na,2,5,1,520,10,0,0,14.0722751,-87.19213599999999,2013
Sungei,Siput,Mal,139.50,66,0,0,279,0,0,0,0,12.9047163,77.5543604,2013
Teluk,Intan,Mal,123.00,-54,0,0,246,0,0,0,0,nodata-lat,nodata-lon,2013
San,Salvador,El,117.50,-54,10,0,12,350,40,0,0,32.795926,-117.2506437,2013
Mafikeng,SA,114.25,-17,1,1,61,323,0,0,0,46.975033,31.994583,2013
Taiping,Mal,111.00,-38,0,0,222,0,0,0,0,nodata-lat,nodata-lon,2013
Salvador,Bra,108.35,na,18,1,0,267,46,0,0,13.6759779,-89.29240639999999,2013
Alor,Setar,Mal,107.00,-21,0,0,214,0,0,0,0,4.851932,100.7416339,2013
Kasai,Con,104.00,na,52,0,0,0,0,0,0,nodata-lat,nodata-lon,2013
Chernigov,Ukr,103.00,-66,34,8,14,80,0,0,0,51.4982,31.28935,2013
Texarkana,USA,98.25,na,42,0,1,47,20,0,1,33.425125,-94.04768820000001,2013
Natal,Bra,96.00,na,3,0,0,360,0,0,0,6.334986,5.6037465,2013
Seattle,USA,95.75,na,30,0,5,133,0,0,0,47.6062095,-122.3320708,2013
